FOLIO,FECHA,HORA,CR_PLAZA,PREGUNTA_META,PLAZA,TIENDA,ENCUESTA,PREGUNTA,RESPUESTA,HALLAZGO_PREGUNTA,NUMERACION,DRIVER,SECCION,REGION,ZONA,CONCEPTO,RESP_OP_ID
19484265,2024-01-08,Sun Dec 31 11:55:15 CST 1899,10PCK,Si,10PCK TECAMAC,Tienda 3,Pulso Simplex,1. ¿Se encuentran limpios los ventanales en tienda? Libres de resto de pegamento/goma o cinta.?,si,,1,Exterior de la tienda,Limpieza,Hidalgo,CENTRO-SUR,Ventanales,4
19484265,2024-01-08,Sun Dec 31 11:55:15 CST 1899,10PCK,Si,10PCK TECAMAC,Tienda 3,Pulso Simplex,"10. ¿ El piso, gondolería, exhibidores se encuentran limpios?",si,,10,Ejecución Comercial y Fast Food,Limpieza,Hidalgo,CENTRO-SUR,"Piso, gondolería y exhibidores",17
19484265,2024-01-08,Sun Dec 31 11:55:15 CST 1899,10PCK,Si,10PCK TECAMAC,Tienda 3,Pulso Simplex,"11. ¿Se encuentran los productos al alcance del cliente, gondolería y exhibidores?",si,,11,Ejecución Comercial y Fast Food,Atención,Hidalgo,CENTRO-SUR,"Piso, gondolería y exhibidores",18
19484265,2024-01-08,Sun Dec 31 11:55:15 CST 1899,10PCK,Si,10PCK TECAMAC,Tienda 3,Pulso Simplex,"12. ¿Las puertas de Cuarto Frío/Enfriadores(acrílicos, parillas y pisos)  se encuentran limpias?",si,,12,Ejecución Comercial y Fast Food,Limpieza,Hidalgo,CENTRO-SUR,Cuarto frío,4
19484265,2024-01-08,Sun Dec 31 11:55:15 CST 1899,10PCK,Si,10PCK TECAMAC,Tienda 3,Pulso Simplex,13. ¿Se encuentran los productos al alcance del cliente en cuarto frío/Enfriadores?,no,,13,Ejecución Comercial y Fast Food,Atención,Hidalgo,CENTRO-SUR,Cuarto frío,19
19484265,2024-01-08,Sun Dec 31 11:55:15 CST 1899,10PCK,No,10PCK TECAMAC,Tienda 3,Pulso Simplex,13.1 Hallazgo,mas de 3 huecos por tramo;, ,13.1,Ejecución Comercial y Fast Food,Atención,Hidalgo,CENTRO-SUR,,
19484265,2024-01-08,Sun Dec 31 11:55:15 CST 1899,10PCK,Si,10PCK TECAMAC,Tienda 3,Pulso Simplex,14. ¿Koxka y barra/barco de Fast Food se encuentran limpios?,si,,14,Ejecución Comercial y Fast Food,Limpieza,Hidalgo,CENTRO-SUR,Koxka y barra de FF,17
19484265,2024-01-08,Sun Dec 31 11:55:15 CST 1899,10PCK,Si,10PCK TECAMAC,Tienda 3,Pulso Simplex,"15. ¿ El Producto exhibido (piso de venta, cuarto frío/enfriadores y koxka) está en buenas condiciones dentro de caducidad o vigencia de frescura?",no,,15,Ejecución Comercial y Fast Food,Atención,Hidalgo,CENTRO-SUR,Frescura,21
19484265,2024-01-08,Sun Dec 31 11:55:15 CST 1899,10PCK,No,10PCK TECAMAC,Tienda 3,Pulso Simplex,15.1 Hallazgo,producto fuera de vigencia;, ,15.1,Ejecución Comercial y Fast Food,Atención,Hidalgo,CENTRO-SUR,,
19484265,2024-01-08,Sun Dec 31 11:55:15 CST 1899,10PCK,No,10PCK TECAMAC,Tienda 3,Pulso Simplex,16. ¿Se tiene diálogo plasmado en la lista de pendientes/acciones respecto al análisis del resumen operativo (ventas / indicadores de control) por parte del Líder de Tienda?,si,,16,Impulso de Venta y Gestión Comercial,Atención,Hidalgo,CENTRO-SUR,Enfoque semanal,24
19484265,2024-01-08,Sun Dec 31 11:55:15 CST 1899,10PCK,No,10PCK TECAMAC,Tienda 3,Pulso Simplex,17. ¿ El Enfoque Mensual en el apartado de Ventas se encuentra lleno con accionables para el mes actual?,si,,17,Impulso de Venta y Gestión Comercial,Atención,Hidalgo,CENTRO-SUR,Enfoque mensual,24
19484265,2024-01-08,Sun Dec 31 11:55:15 CST 1899,10PCK,No,10PCK TECAMAC,Tienda 3,Pulso Simplex,18. ¿Están actualizadas las metas Comerciales en TGO?,no,,18,Impulso de Venta y Gestión Comercial,Atención,Hidalgo,CENTRO-SUR,Metas en TGO,24
19484265,2024-01-08,Sun Dec 31 11:55:15 CST 1899,10PCK,No,10PCK TECAMAC,Tienda 3,Pulso Simplex,18.1 Hallazgo,no actulizadas,,18.1,Impulso de Venta y Gestión Comercial,Atención,Hidalgo,CENTRO-SUR,,
19484265,2024-01-08,Sun Dec 31 11:55:15 CST 1899,10PCK,No,10PCK TECAMAC,Tienda 3,Pulso Simplex,19. ¿Validar si se tiene el Rol de Preinventarios?,si,,19,Procesos,Procesos,Hidalgo,CENTRO-SUR,Rol de preinventarios,26
19484265,2024-01-08,Sun Dec 31 11:55:15 CST 1899,10PCK,Si,10PCK TECAMAC,Tienda 3,Pulso Simplex,2. ¿ Se encuentran limpias las puertas de entrada de la tienda? Libres de resto de pegamento/goma o cinta y ambas puertas con libre acceso a la tienda.,si,,2,Exterior de la tienda,Limpieza,Hidalgo,CENTRO-SUR,Puertas de entrada,4
19484265,2024-01-08,Sun Dec 31 11:55:15 CST 1899,10PCK,No,10PCK TECAMAC,Tienda 3,Pulso Simplex,"20. ¿Validar en resumen operativo si se tienen conteos mayor o igual a 2,500, y 40% de cobertura.",si,,20,Procesos,Procesos,Hidalgo,CENTRO-SUR,Conteo y cobertura,24
19484265,2024-01-08,Sun Dec 31 11:55:15 CST 1899,10PCK,No,10PCK TECAMAC,Tienda 3,Pulso Simplex,21. ¿Validar si se cuenta con el formato de entrega de turnos? Validar los retiros de efectivo vs las alertas de retiro.,si,,21,Procesos,Atención,Hidalgo,CENTRO-SUR,Entrega de turno y alertas de retiro,
19484265,2024-01-08,Sun Dec 31 11:55:15 CST 1899,10PCK,No,10PCK TECAMAC,Tienda 3,Pulso Simplex,"22. ¿Validar si existen folios por las necesidades de tienda (fallas, falta de utensilios, etc.)",no aplica,,22,Procesos,Atención,Hidalgo,CENTRO-SUR,Folios levantados,18
19484265,2024-01-08,Sun Dec 31 11:55:15 CST 1899,10PCK,No,10PCK TECAMAC,Tienda 3,Pulso Simplex,23. ¿Se encuentra capturada la Responsabilidad de Enfoque en el Check list?,si,,23,Responsabilidad de Enfoque ,Procesos,Hidalgo,CENTRO-SUR,Responsabilidad de enfoque,15
19484265,2024-01-08,Sun Dec 31 11:55:15 CST 1899,10PCK,No,10PCK TECAMAC,Tienda 3,Pulso Simplex,23.1.1 Selecciona la responsabilidad de enfoque que se tiene capturada:,spin by oxxo;spin premia;,,23.1.1,Responsabilidad de Enfoque ,Procesos,Hidalgo,CENTRO-SUR,,24
19484265,2024-01-08,Sun Dec 31 11:55:15 CST 1899,10PCK,Si,10PCK TECAMAC,Tienda 3,Pulso Simplex,3. ¿Se encuentran limpios los botes de basura exteriores ? ¿Cuentan con bolsa? ¿No más de 3/4 de su capacidad?,si,,3,Exterior de la tienda,Limpieza,Hidalgo,CENTRO-SUR,Botes de entrada,5
19484265,2024-01-08,Sun Dec 31 11:55:15 CST 1899,10PCK,Si,10PCK TECAMAC,Tienda 3,Pulso Simplex,"4. ¿ Se encuentra limpio el estacionamiento? Libre de basura como empaques, bolsas, hojas, etc.",no aplica,,4,Exterior de la tienda,Imagen de Tienda,Hidalgo,CENTRO-SUR,Estacionamiento,2
19484265,2024-01-08,Sun Dec 31 11:55:15 CST 1899,10PCK,No,10PCK TECAMAC,Tienda 3,Pulso Simplex,5. ¿Se tiene disponibles los cajones de estacionamiento para los clientes (solo aplica en tiendas con estacionamiento)?,no aplica,,5,Exterior de la tienda,Rapidez,Hidalgo,CENTRO-SUR,Cajones disponibles,3
19484265,2024-01-08,Sun Dec 31 11:55:15 CST 1899,10PCK,No,10PCK TECAMAC,Tienda 3,Pulso Simplex,6. ¿ El personal de tienda porta el uniforme oficial limpio y con gafete a la vista del cliente?,si,,6,Gente,Atención,Hidalgo,CENTRO-SUR,Uniforme,8
19484265,2024-01-08,Sun Dec 31 11:55:15 CST 1899,10PCK,No,10PCK TECAMAC,Tienda 3,Pulso Simplex,"7. ¿Se ejecuta la Experiencia Memorable hacia el cliente? (Saludo, Simplifico VIDA, Soy Promotor)",si,,7,Gente,Atención,Hidalgo,CENTRO-SUR,Experiencia memorable,23
19484265,2024-01-08,Sun Dec 31 11:55:15 CST 1899,10PCK,No,10PCK TECAMAC,Tienda 3,Pulso Simplex,7.1.1 Selecciona que fue lo que se ofreció en la venta sugerida :,acumulación de puntos spin premia;,,7.1.1,Gente,Atención,Hidalgo,CENTRO-SUR,,23
19484265,2024-01-08,Sun Dec 31 11:55:15 CST 1899,10PCK,No,10PCK TECAMAC,Tienda 3,Pulso Simplex,8. ¿El Cajero se encuentra habilitado para ofrecer Servicios Financieros?,si,,8,Gente,Rapidez,Hidalgo,CENTRO-SUR,Cajero habilitado,11
19484265,2024-01-08,Sun Dec 31 11:55:15 CST 1899,10PCK,No,10PCK TECAMAC,Tienda 3,Pulso Simplex,9. Foco en la persona: ¿Empleado en tienda tuvo su descanso conforme al plan horario de la semana anterior?,si,,9,Gente,Atención,Hidalgo,CENTRO-SUR,Descanso del empleado,13
19984285,2024-01-13,Sun Dec 31 09:56:39 CST 1899,10PCK,Si,10PCK PACHUCA,Tienda 1,Pulso Simplex,1. ¿Se encuentran limpios los ventanales en tienda? Libres de resto de pegamento/goma o cinta.?,no,,1,Exterior de la tienda,Limpieza,Hidalgo,CENTRO-SUR,Ventanales,4
19984285,2024-01-13,Sun Dec 31 09:56:39 CST 1899,10PCK,No,10PCK PACHUCA,Tienda 1,Pulso Simplex,1.1 Hallazgo,otro;,Ventanal con insectos ,1.1,Exterior de la tienda,Limpieza,Hidalgo,CENTRO-SUR,,
19984285,2024-01-13,Sun Dec 31 09:56:39 CST 1899,10PCK,Si,10PCK PACHUCA,Tienda 1,Pulso Simplex,"10. ¿ El piso, gondolería, exhibidores se encuentran limpios?",no,,10,Ejecución Comercial y Fast Food,Limpieza,Hidalgo,CENTRO-SUR,"Piso, gondolería y exhibidores",17
19984285,2024-01-13,Sun Dec 31 09:56:39 CST 1899,10PCK,No,10PCK PACHUCA,Tienda 1,Pulso Simplex,10.1 Hallazgo,"exhibidores sucios ( con manchas, restos de basura, empaques, chicles pegados,etc);",Rack de garrafones sucio ,10.1,Ejecución Comercial y Fast Food,Limpieza,Hidalgo,CENTRO-SUR,,
